# BNS Attribute Value vs Rate Data
# Author: dbnryanc92
# Attribute: Critical (暴擊 / crit)
# Attribute level: 55
# Date: Oct 29, 2019
critValue,critRate
0,0.0000
80,0.0142
145,0.0253
221,0.0381
279,0.0476
355,0.0598
402,0.0672
479,0.0790
500,0.0821
547,0.0892
619,0.0997
693,0.1103
769,0.1208
838,0.1302
914,0.1403
983,0.1493
1039,0.1564
1213,0.1778
1296,0.1876
1345,0.1933
1372,0.1964
1470,0.2075
1504,0.2112
1548,0.2160
1585,0.2200
1602,0.2218
1651,0.2270
1726,0.2348
1761,0.2384
1810,0.2434
1891,0.2514
1947,0.2569
1969,0.2590
2050,0.2668
2061,0.2678
2082,0.2698
2137,0.2749
2169,0.2778
2185,0.2793
2235,0.2838
2256,0.2857
2311,0.2906
2343,0.2934
2359,0.2948
2365,0.2953
2413,0.2993
2446,0.3022
2529,0.3092
2559,0.3117
2578,0.3133
2587,0.3140
2624,0.3171
2645,0.3188
2684,0.3219
2700,0.3232
2732,0.3257
2748,0.3270
2878,0.3371
2893,0.3382
2905,0.3391
2922,0.3404
2959,0.3432
2976,0.3445
3100,0.3536
3199,0.3607
3282,0.3665
3309,0.3684
3321,0.3692
3343,0.3707
3435,0.3770
3456,0.3784
3511,0.3820
3543,0.3841
3600,0.3878
3650,0.3910
3700,0.3942
3748,0.3972
3802,0.4006
3851,0.4036
3900,0.4066
3951,0.4097
4001,0.4127
4051,0.4156
4100,0.4185
4152,0.4215
4200,0.4242
4250,0.4270
4300,0.4298
4351,0.4327
4403,0.4355
4451,0.4381
4500,0.4407
4551,0.4434
4600,0.4460
4650,0.4486
4700,0.4512
4751,0.4538
4801,0.4563
4851,0.4589
4900,0.4613
4950,0.4637
5000,0.4662
5050,0.4686
5100,0.4710
5150,0.4733
5200,0.4757
5250,0.4780
5300,0.4803
5350,0.4826
5400,0.4848
5450,0.4871
5500,0.4893
5511,0.4898
5550,0.4915
5600,0.4936
5650,0.4958
5700,0.4979
5750,0.5001
5800,0.5021
5850,0.5042
5900,0.5063
5950,0.5083
6000,0.5104
6100,0.5143
6200,0.5183
6300,0.5221
6400,0.5259
6500,0.5297
6600,0.5333
6700,0.5369
6800,0.5405
6900,0.5440
7000,0.5474
7100,0.5508
7116,0.5513
7200,0.5541
7300,0.5574
7400,0.5606
7500,0.5638
7515,0.5643
7600,0.5669
7700,0.5700
7800,0.5730
7900,0.5760
8000,0.5789
8100,0.5818
8200,0.5847
8300,0.5875
8400,0.5903
8500,0.5930
8537,0.5940
8600,0.5957
8700,0.5983
8800,0.6010
8900,0.6035
9000,0.6061
9002,0.6061
9100,0.6086
9200,0.6111
9300,0.6135
9400,0.6159
9500,0.6183
9511,0.6186
9600,0.6206
9700,0.6230
9800,0.6252
9900,0.6275
10000,0.6297
10100,0.6319
10121,0.6324
10200,0.6341
10301,0.6362
10402,0.6384
10441,0.6392
10500,0.6404
10602,0.6425
10700,0.6445
10800,0.6465
10900,0.6485
11002,0.6505
11074,0.6519
11095,0.6523
11101,0.6524
11199,0.6543
11300,0.6562
11402,0.6581
11500,0.6599
11539,0.6606
11600,0.6617
11608,0.6619
11700,0.6636
11799,0.6653
11900,0.6671
12002,0.6689
12100,0.6705
12117,0.6708
12203,0.6723
12297,0.6739
12402,0.6756
12500,0.6772
12582,0.6786
12603,0.6789
12700,0.6805
12716,0.6807
12738,0.6811
12803,0.6821
12897,0.6836
13003,0.6852
13100,0.6867
13203,0.6883
13225,0.6886
13303,0.6898
13406,0.6913
13490,0.6926
13522,0.6930
13577,0.6938
13598,0.6941
13646,0.6948
13690,0.6955
13712,0.6958
13768,0.6966
13805,0.6971
13849,0.6977
13933,0.6989
14074,0.7009
14111,0.7014
14155,0.7020
14314,0.7042
14363,0.7048
14446,0.7059
14620,0.7082
